job_link,min_salary,max_salary,ave_salary
https://www.linkedin.com/jobs/view/iib-datapower-apic-lead-developer-at-extend-information-systems-inc-3793671383,,,
https://www.linkedin.com/jobs/view/senior-database-administrator-at-professional-diversity-network-3805987568,118737.0,155546.0,137141.5
https://www.linkedin.com/jobs/view/staff-machine-learning-engineer-series-a-at-recruiting-from-scratch-3744399238,190000.0,250000.0,220000.0
https://www.linkedin.com/jobs/view/database-engineer-at-pierce-3640165260,,,
https://www.linkedin.com/jobs/view/data-engineer-at-verigent-3805432476,36400.0,,36400.0
https://www.linkedin.com/jobs/view/enrollment-management-crm-data-specialist-at-harris-stowe-state-university-3799625645,,,
https://www.linkedin.com/jobs/view/summer-fellow-project-management-data-analytics-strategy-operations-at-education-pioneers-3790057362,86400.0,,86400.0
https://ca.linkedin.com/jobs/view/senior-data-scientist-product-growth-at-jerry-3789681652,,,
https://www.linkedin.com/jobs/view/mls-dayshift-lead-short-pump-emergency-center-at-bon-secours-3793896056,,,
https://www.linkedin.com/jobs/view/azure-data-architect-at-veear-projects-inc-3719535607,,,
https://www.linkedin.com/jobs/view/senior-marketing-data-operations-specialist-at-baker-tilly-us-3786111965,,,
https://www.linkedin.com/jobs/view/clinical-data-analyst-coordinator-at-lvis-3807211371,,,
https://uk.linkedin.com/jobs/view/mechanical-supervisor-mlc-2312-at-energy-jobline-3804987548,,,
https://www.linkedin.com/jobs/view/commissioning-senior-specialist-data-center-travel-required-at-olsson-3793245899,,,
https://www.linkedin.com/jobs/view/manager-data-engineering-at-paramount%2B-3801126064,124000.0,170000.0,147000.0
https://www.linkedin.com/jobs/view/data-conversion-integration-support-lead-at-stevens-institute-of-technology-3804474900,,,
https://www.linkedin.com/jobs/view/sr-data-scientist-at-mantech-3792954210,119000.0,198300.0,158650.0
https://www.linkedin.com/jobs/view/data-security-analyst-at-robert-half-3798507896,,,
https://www.linkedin.com/jobs/view/data-analytics-audit-project-manager-at-u-s-bank-3795665551,116280.0,,116280.0
https://www.linkedin.com/jobs/view/head-of-data-science-actuary-risk-at-harnham-3789742096,250000.0,,250000.0
https://www.linkedin.com/jobs/view/data-scientist-at-itech-solutions-3714398515,,,
https://www.linkedin.com/jobs/view/principal-technical-data-analyst-at-intuit-3771020836,,,
https://www.linkedin.com/jobs/view/canvas-consultant-member-service-specialist-littleton-nmls-at-canvas-credit-union-3801148486,41600.0,49920.0,45760.0
https://www.linkedin.com/jobs/view/manager-data-corrugated-products-at-westrock-company-3758105923,,,
https://www.linkedin.com/jobs/view/data-scientist-at-anika-systems-3799868542,,,
https://www.linkedin.com/jobs/view/sr-ml-software-engineer-ai-platform-at-rivian-3743838817,184000.0,211000.0,197500.0
https://www.linkedin.com/jobs/view/data-entry-specialist-at-f%C5%8Dcus-an-%C5%8Dnin-group-company-3792240528,,,
https://ca.linkedin.com/jobs/view/manager-of-supply-chain-data-analytics-at-canada-goose-3794072402,,,
https://www.linkedin.com/jobs/view/data-engineer-etl-expert-2021-0140-at-acclaim-technical-services-3787773691,,,
https://www.linkedin.com/jobs/view/lead-data-engineer-finops-at-jobs-for-humanity-3804058211,197400.0,225300.0,211350.0
https://www.linkedin.com/jobs/view/data-center-engineer-at-datacenter-people-3796846791,,,
https://www.linkedin.com/jobs/view/principal-clinical-data-scientist-focus-on-statistics-at-boehringer-ingelheim-3678216239,135000.0,232000.0,183500.0
https://ca.linkedin.com/jobs/view/senior-data-engineering-advisor-at-oil-and-gas-job-search-ltd-3785105358,,,
https://www.linkedin.com/jobs/view/environmental-data-management-specialist-at-tetra-tech-3805524433,70000.0,90000.0,80000.0
https://www.linkedin.com/jobs/view/senior-database-developer-at-aperia-3657165841,,,
https://www.linkedin.com/jobs/view/medical-lab-scientist-mls-at-mclaren-health-care-3735646509,,,
https://www.linkedin.com/jobs/view/senior-business-data-analyst-at-jobs-for-humanity-3805617017,,,
https://www.linkedin.com/jobs/view/staff-machine-learning-engineer-series-a-at-recruiting-from-scratch-3744395400,190000.0,250000.0,220000.0
https://www.linkedin.com/jobs/view/medical-technologist-mt-or-mlt-at-oculus-search-partners-llc-3771449692,48880.0,81120.0,65000.0
https://www.linkedin.com/jobs/view/data-scientist-at-keylent-inc-3768063385,,,
https://www.linkedin.com/jobs/view/data-scientist-with-al-ml-at-saransh-inc-3735366115,,,
https://www.linkedin.com/jobs/view/sr-data-center-engineer-at-dice-3805946452,,,
https://www.linkedin.com/jobs/view/senior-bsa-aml-records-specialist-at-nbt-bank-3804799682,,,
https://www.linkedin.com/jobs/view/data-center-technician-ii-at-idr-inc-3794559529,,,
https://www.linkedin.com/jobs/view/python-data-engineer-at-logic20-20-inc-3789090007,130000.0,173000.0,151500.0
https://www.linkedin.com/jobs/view/data-control-clerk-ii-at-university-of-rochester-3748393750,,,
